City,Temperature,Latitude,Humidity,Cloudiness,Wind Speed
alice springs,104,-23.7,11,0,17.22
hithadhoo,82.38,-0.6,100,48,4.38
punta arenas,48.2,-53.16,70,75,9.17
santa isabel do rio negro,75.95,-0.41,95,36,2.37
dabhol,79.86,17.6,86,64,6.4
saint-ambroise,50,47.25,81,68,14.99
guozhen,32.79,29.3,99,100,5.73
kodiak,23.47,39.95,80,1,4.7
hermanus,48.14,-34.42,100,12,2.82
uvat,10.7,59.14,60,68,8.41
port elizabeth,26.87,39.31,74,1,6.73
hasaki,45.45,35.73,49,75,8.05
rikitea,78.11,-23.12,99,88,13.22
northam,51.8,51.04,71,92,26.4
byron bay,80.2,-28.65,65,40,14.99
ushuaia,48.2,-54.81,61,75,5.82
mataura,62.49,-46.19,95,92,11.43
cape town,60.8,-33.93,72,0,8.05
busselton,72.21,-33.64,80,0,11.77
sitka,20.01,37.17,71,0,5.61
edd,71.31,13.93,95,88,1.81
najran,62.6,17.54,48,0,2.24
nuuk,17.6,64.17,78,20,8.05
okhotsk,9.8,59.36,100,8,6.73
victoria,87.8,5.28,74,75,3.36
dabat,52.14,12.98,71,0,2.15
kapaa,73.53,22.08,57,90,24.16
geraldton,19.4,49.72,67,75,13.87
dickinson,12.02,46.88,83,1,9.17
ust-nera,-33.59,64.57,0,20,1.92
jamestown,88.64,-33.21,35,24,10.2
san patricio,57.77,-26.98,80,0,2.04
hovd,32,63.83,98,90,6.93
caravelas,75.36,-17.73,100,100,22.06
avarua,80.6,-21.21,88,90,11.41
derbent,32.88,42.06,93,64,1.48
shizuishan,8.22,39.02,62,0,1.92
georgetown,73.4,6.8,94,0,2.24
sandy bay,64.4,-42.9,63,75,11.41
zhanaozen,34.64,43.35,84,92,5.95
bereda,53.6,43.27,93,64,3.36
iralaya,80,15,87,80,8.75
svay rieng,85.53,11.08,79,20,4.72
vezirkopru,30.2,41.14,92,0,3.36
provideniya,16.91,64.42,100,20,20.49
bakel,70.14,14.9,25,64,11.65
port blair,80.9,11.67,100,64,12.66
tarnogskiy gorodok,15.02,60.5,87,56,10.87
bluff,75.95,-23.58,66,92,15.46
boa vista,78.8,2.82,78,75,6.93
santa cruz,50.83,36.97,81,5,5.82
nikolskoye,28.4,59.7,86,90,13.42
nueva germania,64.92,-23.91,59,0,3.27
acapulco,78.8,16.86,88,20,5.82
mecca,48.5,21.43,78,0,2.71
chernyshevskiy,-18.47,63.01,79,48,3.94
torbay,26.6,47.66,100,90,13.87
saint-louis,48.92,47.59,81,75,24.16
eufaula,48.11,31.89,89,90,18.34
gwadar,68.75,25.12,93,0,7.63
ukiah,48.02,39.15,79,75,2.15
lebu,48.2,8.96,87,20,6.93
corn island,82.97,12.17,97,0,15.12
labuhan,84.5,-2.54,79,36,3.04
henties bay,57.86,-22.12,100,24,9.08
severo-kurilsk,31.26,50.68,100,44,4.5
wilmington,26.83,39.75,63,1,7.4
santa lucia,55.4,39.93,50,20,8.05
saint-philippe,10.35,45.36,85,1,3.36
hambantota,77,6.12,100,90,1.12
vaini,73.49,15.34,65,32,4.7
ambulu,81.21,-8.35,100,20,1.7
saint george,41.29,39.45,81,75,1.81
ribeira grande,65.06,38.52,97,80,17.36
radcliff,28.58,37.84,60,90,9.17
ferkessedougou,62,9.6,65,0,2.71
aquiraz,80.6,-3.9,83,40,6.93
olinda,73.4,-2.03,78,0,12.75
santa rosa,65.87,-36.62,87,76,11.21
el alto,39.2,-16.5,64,0,2.24
isangel,78.24,-19.55,100,0,22.17
yellowknife,10.4,62.45,92,20,2.24
nago,34.52,45.88,74,8,3.36
mahebourg,80.6,-20.41,78,75,11.41
arraial do cabo,69.65,-22.97,99,20,6.06
nabisar,56.01,25.07,86,0,2.71
hobart,62.6,-42.88,59,75,9.17
warrnambool,64.34,-38.38,82,0,13.67
la ronge,19.4,55.1,79,20,6.93
oussouye,71.56,12.49,88,0,6.93
ewa beach,72.7,21.32,77,75,5.82
chimore,74.24,-16.98,80,80,3.83
tilichiki,-27.38,60.47,42,12,3.38
cabo san lucas,66.2,22.89,77,5,8.05
cherskiy,-22.16,68.75,98,68,3.71
bethel,21.74,60.79,95,90,6.93
ossora,0.44,59.24,93,12,8.75
carnarvon,47.28,-30.97,95,0,12.77
pangnirtung,-17.39,66.15,76,0,1.81
hobyo,79.41,5.35,79,88,13.33
nantucket,24.42,41.28,47,1,6.93
yerbogachen,-13.74,61.28,62,76,3.04
tilaran,75.2,10.47,78,0,4.7
general roca,68,-39.03,40,0,9.17
praia da vitoria,62.6,38.73,88,0,17.13
san isidro,74.37,16.74,100,80,3.38
mtwara,78.8,-10.28,94,40,4.61
hailar,-8.61,49.2,61,0,4.72
hilo,78.08,19.71,64,20,10.29
bredasdorp,59,-34.53,77,92,3.36
lagoa,51.8,37.14,81,0,6.93
vryburg,55.07,-26.96,26,0,8.3
atuona,80.72,-9.8,100,88,15.68
portland,38.59,45.52,62,90,18.34
bandarbeyla,78.02,9.49,100,100,14.56
nishihara,49.32,35.74,34,75,12.75
dijkot,51.92,31.22,86,0,2.82
barrow,77.57,-38.31,34,32,18.81
mar del plata,74.46,-46.43,35,92,12.1
keti bandar,76.04,24.14,98,0,6.4
katsuura,44.67,33.93,56,75,11.41
kuusamo,26.6,65.96,92,90,13.87
baherden,42.51,38.44,100,64,1.03
albany,20.34,42.65,73,1,3.36
slonim,28.7,53.09,86,0,11.54
bernay,48.2,49.09,76,90,23.04
thompson,6.8,55.74,92,75,2.37
moa,72.44,20.66,92,76,3.49
mao,72.52,19.55,100,20,11.43
